Location,Latitude,Longitude
Countrywide,,
Bengal,22.9867569,87.8549755
"Quezaltenango, San Marcos",14.8446068,-91.5231866
,,
,,
"Frank, Alberta",49.600412,-114.405083
,,
Chittagong,22.3752075,91.8348606
"Spence's Bridge, British Columbia",50.414053,-121.359529
Kangra,32.1014764,76.2731465
Valparaiso,-33.047238,-71.61268849999999
Tumako,,
Louvain region,50.8822871,4.7137645
,,
,,
Tien Shan,,
,,
"Notre Dame de La Salette, Quebec",45.76572900000001,-75.58452799999999
Bakerganj,22.5405454,90.3383648
West Sundarbans,21.9497274,89.1833304
,,
"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",43.71697200000001,5.245820999999999
"Cul de Sac,Leogane",18.5119291,-72.6334813
,,
,,
"Roger's Pass, British Columbia",51.2833333,-117.5166667
Manchuria,,
,,
Cartago,,
"Kabylie, Masqueray",,
,,
,,
Teknaf,20.8578385,92.2975183
"Cochrane (and Northern Region), Ontario",49.27178592268429,-84.70830834914045
,,
"Regina, Saskatchewan",50.4452112,-104.6188944
Wenchou,27.9949199,120.69939
"Kepahyang, Bengkulu (Sumatera)",-3.651431,102.578201
"Cooper Mine, British Columbia",54.14019600421275,-126.5552759142272
Guangzhou,23.1290799,113.26436
"South, Southwest area",,
"Cuddalore, Pondicherry",11.9415915,79.8083133
Yunnan province,25.0452999,102.7097299
Tianjin,39.085099,117.199369
Guatemala city,14.6349149,-90.5068824
Bali,-8.4095178,115.188916
Kwangtung (Guangdong),23.1317099,113.26627
,,
Natiuonwide,,
,,
,,
Bakerganj,22.5405454,90.3383648
Small Island between Java and Sumatra,-0.589724,101.3431058
"Gansu, Shanxi provinces",37.8734299,112.56272
Countrywide,,
,,
North,,
Danube area,46.3219324820363,19.13597431307999
,,
,,
,,
Atacama,-23.8634189,-69.1328491
,,
Teknaf,20.8578385,92.2975183
"Haileybury, Ontario",47.4463218,-79.6354588
Swatow,23.3534999,116.68221
,,
"Cox's Bazar, Chittagong",21.4511839,92.0085276
Sichuan,30.6508899,104.07572
,,
Chimborazo,-1.4693018,-78.8169396
Wonosobo (Central Java),-7.3684995,109.8984085
Punjab province,31.1704063,72.7097161
,,
Talifu (Yunnan province),25.6064799,100.26764
Rhine area,51.6782999,7.1311418
"Bezwada, Masulipatam",16.1808917,81.1302716
,,
Cox's Bazar,21.4511839,92.0085276
Nassau,25.0443312,-77.3503609
Pereira,4.8087174,-75.690601
Havana and suburbs,,
Rhine area,51.6782999,7.1311418
Basse-Egypte,,
Roquebillière (Alpes-Maritimes),44.012749,7.307726999999999
Bengal,22.9867569,87.8549755
,,
"Sulawesi, Donggala",-0.4233155,119.8352303
Gansu province,36.0594199,103.82634
Yeng-Kong,1.3553779,103.8772007
Mostaganem,35.9311454,0.09094139999999999
"Gujarat, Ahmedabad, Baroda",22.3071588,73.1812187
Nellore,14.4425987,79.98645599999999
,,
Plovdiv,42.1354079,24.7452904
"Burin Peninsula, Newfoundland",47.0,-55.5
Talca,-35.4232444,-71.6484804
"Shensi, Honan, Kansu",,
,,
,,
Flores sea,-7.683650599999999,119.7889248
Nassau,25.0443312,-77.3503609
"Bavaria, Baden-Wurtemberg",48.6616037,9.3501336
"Termonde, Anvers, Charleroi, Bruxelles",50.8697616,4.302798
Meuse Valley,49.94173088563552,5.416739278041011
San Zenon,9.244883500000002,-74.4984504
Santo Domingo,18.4860575,-69.93121169999999
"Lyon (Rhone) - Colline des Balmes, quartier Saint-Jean",45.76115859999999,4.8264346
Siatista,40.2593571,21.5498752
Java Island,-7.614529200000001,110.7122465
"Prairie provinces, Western Canada",53.5442411,-113.490878
,,
Belize city,17.5045661,-88.1962133
Huigra,-2.2881724,-78.98149409999999
"Labasa, Lautoka",-16.4310584,179.3701991
,,
,,
Santa Cruz Del Sur (Camaguey province),20.7156807,-77.9938497
"Lyon (Rhone), cours d'Herbouville",45.7766294,4.8400736
"Kakas, Langowan, Poso, Tondano (North Sulawesi)",1.30198,124.913399
Sichuan prpvince,30.6508899,104.07572
"Henan, Hebei, Shandong, Jiangsy",34.7657099,113.75322
Canton,23.1290799,113.26436
Bimini,25.7272608,-79.2978993
,,
,,
,,
,,
"Banda Aceh, Lhok Sukon, Lhoksemawe",5.0729103,97.3425065
Nationwide (except Yukon and Nothwest territories),63.588753,-115.5069381
"Tapanuli, Karo (North Sumatera)",2.950906,99.0674757
Guntur (Madras),16.3066525,80.4365402
Noakhali,22.8652943,91.0970586
,,
Tomini Gulf (Central Sulawesi),0.5227421,120.5939265
